City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Lorengau,PG,81.9,light rain,-2.02,147.27,Lorengau Harbourside Hotel
11,Boppard,DE,76.01,overcast clouds,50.23,7.59,Zur Krone
12,Kapaa,US,82.72,light rain,22.08,-159.32,Sheraton Kauai Coconut Beach Resort
13,Victoria,HK,86.38,overcast clouds,22.29,114.16,Mini Central
15,Roma,US,89.74,clear sky,43.21,-75.46,Wingate By Wyndham Rome
16,Meulaboh,ID,76.51,broken clouds,4.14,96.13,Kost Pria
18,Humaita,BR,89.17,overcast clouds,-7.51,-63.02,Corrêa Hotel
22,Ponta Do Sol,PT,75.0,clear sky,32.67,-17.1,Hotel do Campo
25,Avarua,CK,75.25,scattered clouds,-21.21,-159.78,Paradise Inn
30,Mahuva,IN,80.29,overcast clouds,21.09,71.76,Hotel Blue Diamond.
31,Portland,US,76.48,broken clouds,45.52,-122.68,The Bidwell Marriott Portland
34,Paraiso,CR,77.86,overcast clouds,9.84,-83.87,Hotel Rinconcito Verde
39,Bien Hoa,VN,78.78,overcast clouds,10.95,106.82,OYO 991 Duy Anh Hotel
40,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
42,Puerto Ayora,EC,76.96,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
43,Urgut,UZ,78.42,clear sky,39.4,67.24,Xursandov Abdullo xonadoni
44,Faanui,PF,77.11,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
49,Kushima,JP,76.44,light rain,31.46,131.23,Hanaoka
50,Salalah,OM,78.89,overcast clouds,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
52,Jalandhar,IN,86.09,clear sky,31.33,75.58,Hotel Maharaja Residency
64,Touros,BR,77.58,broken clouds,-5.2,-35.46,INN NEW HORIZON
68,Port Dover,CA,79.41,overcast clouds,42.78,-80.2,Erie Beach Hotel
69,Georgetown,MY,82.89,few clouds,5.41,100.34,Cititel Penang
70,Butaritari,KI,81.81,light rain,3.07,172.79,Isles Sunset Lodge
71,Pag,HR,81.18,clear sky,44.44,15.06,Hotel Meridijan
75,Atuona,PF,78.08,few clouds,-9.8,-139.03,Villa Enata
78,Bull Savanna,JM,84.79,overcast clouds,17.89,-77.59,Big Red's
