City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.33,53.71,92,100,14.7,overcast clouds
1,Srednekolymsk,RU,67.45,153.68,52.27,43,11,8.34,few clouds
2,Half Moon Bay,US,37.46,-122.43,92.53,69,20,19.57,mist
3,Punta Arenas,CL,-53.15,-70.92,35.71,87,0,27.63,clear sky
4,East London,ZA,-33.02,27.91,69.03,31,0,8.43,clear sky
5,Albany,US,42.6,-73.97,91.42,44,98,3.0,overcast clouds
6,Upernavik,GL,72.79,-56.15,41.07,87,29,14.72,scattered clouds
7,Souillac,MU,-20.52,57.52,70.18,64,40,14.97,light rain
8,Longyearbyen,SJ,78.22,15.64,57.04,82,75,4.61,broken clouds
9,Rikitea,PF,-23.12,-134.97,73.47,82,79,15.7,moderate rain
10,Lorengau,PG,-2.02,147.27,81.9,79,86,9.66,light rain
11,Boppard,DE,50.23,7.59,76.01,51,95,2.57,overcast clouds
12,Kapaa,US,22.08,-159.32,82.72,76,100,16.11,light rain
13,Victoria,HK,22.29,114.16,86.38,82,100,11.99,overcast clouds
14,Castro,BR,-24.79,-50.01,66.83,76,100,1.86,overcast clouds
15,Roma,US,43.21,-75.46,89.74,44,0,4.61,clear sky
16,Meulaboh,ID,4.14,96.13,76.51,90,82,2.55,broken clouds
17,Bluff,NZ,-46.6,168.33,51.8,61,100,22.88,overcast clouds
18,Humaita,BR,-7.51,-63.02,89.17,46,87,2.59,overcast clouds
19,Nikolskoye,RU,59.7,30.79,57.09,95,100,4.74,overcast clouds
20,Gambo,CF,4.65,22.26,68.86,98,96,2.48,light rain
21,Hasaki,JP,35.73,140.83,73.8,89,99,8.37,overcast clouds
22,Ponta Do Sol,PT,32.67,-17.1,75.0,81,8,7.83,clear sky
23,Chokurdakh,RU,70.63,147.92,45.09,62,9,11.92,clear sky
24,Vila Franca Do Campo,PT,37.72,-25.43,70.21,83,35,6.38,scattered clouds
25,Avarua,CK,-21.21,-159.78,75.25,73,40,3.44,scattered clouds
26,Ushuaia,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
27,Port Alfred,ZA,-33.59,26.89,70.52,35,0,12.24,clear sky
28,Hermanus,ZA,-34.42,19.23,54.81,83,0,8.55,clear sky
29,Nome,US,64.5,-165.41,55.17,66,75,8.05,broken clouds
30,Mahuva,IN,21.09,71.76,80.29,85,99,14.43,overcast clouds
31,Portland,US,45.52,-122.68,76.48,47,75,10.36,broken clouds
32,Tiksi,RU,71.69,128.87,38.53,74,100,6.06,overcast clouds
33,Nelson Bay,AU,-32.72,152.15,57.0,73,10,11.01,clear sky
34,Paraiso,CR,9.84,-83.87,77.86,73,87,4.47,overcast clouds
35,Bonavista,CA,48.65,-53.11,65.3,68,79,16.87,broken clouds
36,Clyde River,CA,70.47,-68.59,35.83,87,75,14.97,broken clouds
37,Bayan,CN,46.08,127.4,64.78,96,98,6.49,overcast clouds
38,Vao,NC,-22.67,167.48,71.11,74,100,18.63,overcast clouds
39,Bien Hoa,VN,10.95,106.82,78.78,95,96,2.39,overcast clouds
40,Vaini,TO,-21.2,-175.2,75.36,88,20,10.36,few clouds
41,Pevek,RU,69.7,170.31,31.23,94,100,30.98,light snow
42,Puerto Ayora,EC,-0.74,-90.35,76.96,94,72,8.99,broken clouds
43,Urgut,UZ,39.4,67.24,78.42,22,0,1.25,clear sky
44,Faanui,PF,-16.48,-151.75,77.11,70,77,18.1,light rain
45,Khatanga,RU,71.97,102.5,58.06,60,100,4.85,overcast clouds
46,Aswan,EG,24.09,32.91,92.5,13,0,6.91,clear sky
