City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Guerrero Negro,27.9769,-114.0611,75.07,59,4,17.36,MX,2022-07-14 22:11:07
1,Champerico,14.3,-91.9167,83.62,75,91,8.72,GT,2022-07-14 22:11:07
2,Port Lincoln,-34.7333,135.8667,50.16,63,68,12.86,AU,2022-07-14 22:06:42
3,Atuona,-9.8,-139.0333,77.58,70,8,14.58,PF,2022-07-14 22:07:29
4,Tasiilaq,65.6145,-37.6368,48.36,71,100,7.31,GL,2022-07-14 22:09:55
5,Vaini,-21.2,-175.2,80.76,89,20,10.36,TO,2022-07-14 22:11:08
6,Port-Cartier,50.0334,-66.8654,62.74,61,95,8.48,CA,2022-07-14 22:10:20
7,Isangel,-19.55,169.2667,76.93,78,10,6.08,VU,2022-07-14 22:11:08
8,Punta Arenas,-53.15,-70.9167,32.11,93,75,2.3,CL,2022-07-14 22:07:44
9,Zhoucun,36.8167,117.8167,78.76,81,92,1.14,CN,2022-07-14 22:11:09
10,Clyde River,70.4692,-68.5914,50.76,57,36,2.64,CA,2022-07-14 22:11:09
11,Rodrigues Alves,-7.738,-72.6509,79.59,74,98,3.36,BR,2022-07-14 22:11:10
12,Shanhetun,44.7,127.2,64.54,95,95,4.54,CN,2022-07-14 22:11:10
13,Kapaa,22.0752,-159.319,84.18,75,100,16.11,US,2022-07-14 22:11:10
14,Ushuaia,-54.8,-68.3,28.06,80,0,2.3,AR,2022-07-14 22:06:22
15,Shimoda,34.6667,138.95,75.11,88,77,4.47,JP,2022-07-14 22:11:11
16,Beloha,-25.1667,45.05,62.13,78,0,3.62,MG,2022-07-14 22:11:11
17,Bandarbeyla,9.4942,50.8122,78.15,80,98,31.63,SO,2022-07-14 22:11:11
18,Nikolskoye,59.7035,30.7861,58.8,95,99,4.07,RU,2022-07-14 22:11:12
19,Port-Gentil,-0.7193,8.7815,75.16,83,20,10.36,GA,2022-07-14 22:08:13
20,Port Elizabeth,-33.918,25.5701,55.31,82,51,4.0,ZA,2022-07-14 22:11:12
21,Mandurah,-32.55,115.7,60.91,72,75,18.86,AU,2022-07-14 22:11:12
22,Maromitsa,59.8683,48.0123,58.71,97,77,3.96,RU,2022-07-14 22:11:13
23,Kruisfontein,-34.0033,24.7314,51.76,90,40,5.48,ZA,2022-07-14 22:11:13
24,Bambous Virieux,-20.3428,57.7575,69.22,77,45,11.7,MU,2022-07-14 22:11:13
25,Bobo Dioulasso,11.1771,-4.2979,77.54,74,89,1.3,BF,2022-07-14 22:11:14
26,Kaitangata,-46.2817,169.8464,39.31,95,100,6.96,NZ,2022-07-14 22:11:14
27,Codrington,-38.2667,141.9667,43.07,98,57,10.02,AU,2022-07-14 22:11:14
28,Fortuna,40.5982,-124.1573,63.86,81,100,8.52,US,2022-07-14 22:11:15
29,Severo-Kurilsk,50.6789,156.125,54.86,93,79,10.74,RU,2022-07-14 22:11:15
30,Byron Bay,-28.65,153.6167,53.94,80,92,13.31,AU,2022-07-14 22:11:15
31,Luderitz,-26.6481,15.1594,64.29,43,0,8.39,NA,2022-07-14 22:11:16
32,Avarua,-21.2078,-159.775,77.05,61,75,16.11,CK,2022-07-14 22:10:13
33,Rikitea,-23.1203,-134.9692,67.86,76,100,5.53,PF,2022-07-14 22:11:16
34,Carnarvon,-24.8667,113.6333,66.16,83,33,11.7,AU,2022-07-14 22:11:17
35,Moron,-34.6534,-58.6198,55.94,85,97,4.92,AR,2022-07-14 22:09:12
36,Jalu,29.0331,21.5482,77.43,49,0,15.84,LY,2022-07-14 22:11:17
37,Faanui,-16.4833,-151.75,77.99,60,99,23.22,PF,2022-07-14 22:11:17
38,Lebu,-37.6167,-73.65,44.26,81,100,7.29,CL,2022-07-14 22:11:18
39,Hithadhoo,-0.6,73.0833,83.08,75,100,13.98,MV,2022-07-14 22:11:18
